,,Do not make changes to the yellow columns. Changes should only be made in the final four columns shaded blue >>>>>>,,,,,,,,,,,,,,,Use these four columns to propose amendments,,,
Postgraduate,BCA814,Bayesian Statistical Methods,4,Science,Postgraduate,[BCA808 and BCA809] or [((STAT271 and STAT272) or STAT371 or STAT806 or STAT810) and (STAT411 or STAT811)],,,2018,,Department of Statistics,No,none,none,no quota,No,"When Offered

",S2 External,,Gillian Heller
Postgraduate,BCA814,Bayesian Statistical Methods,,,,,,,,,,,,,,,Prerequisite,[BCA808 and BCA809] or [((STAT271 and STAT272) or STAT371 or STAT306 or STAT806 or STAT810(Cr)) and (STAT411 or STAT811)],,Gillian Heller
Postgraduate,BCA815,Biostatistics Research Project Part A,4,Science,Postgraduate,16cp in BCA units at 800 level including BCA804 and BCA808,,,"S1 External
S2 External","None
None",Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BCA816,Biostatistics Research Project Part B,4,Science,Postgraduate,16cp in BCA units at 800 level including BCA804 and BCA808,BCA815,,"S1 External
S2 External","None
None",Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BCA817,Probability and Distribution Theory,4,Science,Postgraduate,BCA802,,,"S1 External
S2 External","None
None",Department of Statistics,No,none,none,no quota,No,,,,
Postgraduate,BIOL860,Biology Research Experience,4,Science,Postgraduate,(8cp from BIOL861 or BIOL873 or BIOL874 or BIOL875 or BIOL877 or BIOL887) and permission by special approval,,,"S1 Day
S1 External
S2 Day
S2 External","


",Department of Biological Sciences,No,BIOL760,none,no quota,No,,C&P request to Faculty: please advise on-campus attendnace for external offering,,
Postgraduate,BIOL861,Conservation and Management of Wild Populations,4,Science,Postgraduate,GSE804 or BIOL875 or (admission to MMarScMgt or MConsBiol or GradDipConsBiol or GradCertConsBiol or MSc),,,"S1 Day
S1 External","
Compulsory",Department of Biological Sciences,No,BIOL761,none,no quota,No,,,,
Postgraduate,BIOL870,Conservation in Practice,4,Science,Postgraduate,(8cp from BIOL861 or BIOL873 or BIOL874 or BIOL875 or BIOL877 or BIOL887) and permission by special approval,,,"S1 Day
S1 External
S2 Day
S2 External","
None

None",Department of Biological Sciences,No,none,none,no quota,No,,,,
Postgraduate,BIOL872,Cross Institutional Study B,4,Science,Postgraduate,Permission by special approval,,"GSE876, ENV876, GEOP876","S1 External
S2 External","None
None",Department of Biological Sciences,No,none,none,no quota,No,,,,
Postgraduate,BIOL874,Biodiversity Survey and Monitoring,4,Science,Postgraduate,ENVS803 or GSE803 or (admission to MMarScMgt or MConsBiol or GradDipConsBiol or GradCertConsBiol or MPlan or MSc),,GSE854,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,none,none,no quota,No,,,,
Postgraduate,BIOL875,Contemporary Conservation in Australia,4,Science,Postgraduate,Admission to MBiotech or MBioBus or GradDipBiotech or MConsBiol or GradDipConsBiol or GradCertConsBiol or MEnv or MEnvPlan or GradDipEnv or MMarScMgt or MSusDev or GradDipSusDev or MPlan or MSc,,GSE804,"S1 Evening
S1 External","
",Department of Biological Sciences,No,none,none,no quota,No,,C&P request to Faculty: please advise on-campus attendnace for external offering,No on campus session,
Postgraduate,BIOL876,Climate Change Impacts,4,Science,Postgraduate,Admission to MConsBiol or GradDipConsBiol or GradCertConsBiol or MEnv or MEnvPlan or GradDipEnv or MMarScMgt or MSusDev or GradDipSusDev or MSc or MPlan or MSocEntre,,CLIM803,S2 Day,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Postgraduate,BIOL877,Topics in Australian Marine Science,4,Science,Postgraduate,Admission to MMarScMgt or MConsBiol or GradDipConsBiol or MPlan or MSc,,MAR801,S1 Day,,Department of Biological Sciences,No,none,none,no quota,No,,,,
Postgraduate,BIOL887,Regional and Global Conservation,4,Science,Postgraduate,BIOL875 or GSE804 or ENV808 or ENVS808 or (admission to MMarScMgt or MConsBiol or GradDipConsBiol or GradCertConsBiol or MSc),,BIOL865,"S2 Day
S2 External","
Compulsory",Department of Biological Sciences,No,BIOL787,none,no quota,No,,,,
Postgraduate,CBMS807,Bioethics and Biotechnology,4,Science,Postgraduate,Admission to MBiotech or MBiotechMCom or MBioBus or MSc or MPH or HSYP801 or HSYP802,,ELS860,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,none,PHL260,no quota,No,,,,
Postgraduate,CBMS810,Application of Nuclear Science to Medicine,4,Science,Postgraduate,Admission to MRadiopharmSc or MSc and permission by special approval,,,"S1 Day
S1 Evening","
",Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Postgraduate,CBMS825,Chemical Analysis II,4,Science,Postgraduate,Admission to MLabQAMgt or MRadiopharmSc or MSc or MBiotech or MBioBus and permission by special approval,,,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS308,none,no quota,No,,,,
Postgraduate,CBMS832,Protein Discovery and Analysis,4,Science,Postgraduate,Admission to MBiotech or MBiotechMCom or MLabQAMgt or MRadiopharmSc or MSc or MBioBus,,,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS332, CBMS732",none,no quota,No,,,,
Postgraduate,CBMS833,Functional Proteomics,4,Science,Postgraduate,Admission to MBiotech or MBiotechMCom or MLabQAMgt or MRadiopharmSc or MMarScMgt or MBioBus or MSc,,,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,CBMS733,none,no quota,No,,,,
Postgraduate,CBMS836,Molecular Biology and Genomics,4,Science,Postgraduate,Admission to MBiotech or MBiotechMCom or MRadiopharmSc or MSc or MBioBus or MMarScMgt,,CBMS852,S1 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS336, ",none,no quota,No,,,,
Postgraduate,CBMS837,Biochemistry and Cell Biology,4,Science,Postgraduate,Admission to MBiotech or MBiotechMCom or MBioBus or MLabQAMgt or MRadiopharmSc or MSc,,"CBMS809, CBMS875 ",S2 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS337, ",none,no quota,No,,,,
Postgraduate,CBMS842,Advanced Medicinal Chemistry,4,Science,Postgraduate,(Admission to MBiotech or MBioBus or MLabQAMgt or MRadiopharmSc or MSc) and permission by special approval,,,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,,,,
Postgraduate,CBMS860,Analytical Measurement Uncertainty and Method Validation,4,Science,Postgraduate,Admission to MLabQAMgt or MSc or MBiotech or MBioBus or MRadiopharmSc,,,S1 Evening,,Department of Chemistry and Biomolecular Sciences,No,CBMS760,none,no quota,No,,,,
Postgraduate,CBMS861,Laboratory Quality Systems,4,Science,Postgraduate,Admission to MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMgt or MRadiopharmSc or MSc or MBiotech or MBioBus,,,S2 Evening,,Department of Chemistry and Biomolecular Sciences,No,CBMS761,none,no quota,No,,,,
Postgraduate,CBMS880,Molecular and Medical Biotechnology,4,Science,Postgraduate,Admission to MBiotech or MBiotechMCom or MRadiopharmSc or MBioBus or MSc,,,S2 Day,,Department of Chemistry and Biomolecular Sciences,No,"CBMS731, CBMS331",none,no quota,No,,,,
Postgraduate,CBMS881,Major Research Project in Molecular Sciences,16,Science,Postgraduate,(Admission to MBiotech or MRadiopharmSc) and (16cp at 800 level or above) and permission by special approval,,,"S1 Day
S2 Day
FY1 Day","

",Department of Chemistry and Biomolecular Sciences,No,none,none,no quota,No,Prerequisite,(Admission to MRadiopharmSc) and (16cp at 800 level or above) and permission by special approval,No longer required in MBiotech.,Robert Willows
Postgraduate,CHIR873,Neuromusculoskeletal Diagnosis 1,4,,Postgraduate,Admission to MChiroprac and (CHIR311 or CHIR316 or (CHIR602 and CHIR603 and CHIR604 and CHIR605 and CHIR606 and CHIR607)),,,S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR874,Neuromusculoskeletal Diagnosis 2,4,,Postgraduate,CHIR873,,,S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR891,Clinical Chiropractic 1,4,,Postgraduate,Admission to MChiroprac and (CHIR311 or CHIR316 or (CHIR602 and CHIR603 and CHIR604 and CHIR605 and CHIR606 and CHIR607)),,CHIR875,S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR892,Clinical Chiropractic 2,4,,Postgraduate,CHIR891,,CHIR876,S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR896,Clinic Internship 1,4,,Postgraduate,CHIR874 and (CHIR876 or CHIR892) and (CHIR878 or CHIR919) and (CHIR880 or CHIR917),CHIR903,,"S1 Day
S2 Day","
",Department of Chiropractic,Yes,none,none,no quota,Yes,,,,
Postgraduate,CHIR897,Clinic Internship 2,4,,Postgraduate,CHIR896,CHIR904,,"S1 Day
S2 Day","
",Department of Chiropractic,Yes,none,none,no quota,Yes,,,,
Postgraduate,CHIR903,Clinical Chiropractic 3,4,,Postgraduate,CHIR892,,,S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR904,Clinical Chiropractic 4,4,,Postgraduate,CHIR903,,,S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR916,Diagnostic Imaging 1,4,,Postgraduate,Admission to MChiroprac and (CHIR311 or CHIR316 or (CHIR602 and CHIR603 and CHIR604 and CHIR605 and CHIR606 and CHIR607)),,CHIR879,S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR917,Diagnostic Imaging 2,4,,Postgraduate,"CHIR916
",,CHIR880,S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR918,Physical and Functional Assessment,4,,Postgraduate,"Admission to MChiroprac and (CHIR311 or CHIR316 or (CHIR602 and CHIR603 and CHIR604 and CHIR605 and CHIR606 and CHIR607))
","CHIR873
","CHIR877, CHIR881
",S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR919,Clinical Management,4,,Postgraduate,"CHIR873 and CHIR916 and CHIR918
",CHIR874 and CHIR917,"CHIR878, CHIR882
",S2 Day,,Department of Chiropractic,No,none,none,no quota,Yes,,,,
Postgraduate,CHIR921,Topics in Chiropractic 1,4,,Postgraduate,CHIR918 and CHIR919,,CHIR887,S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR922,Topics in Chiropractic 2,4,,Postgraduate,CHIR921,,"CHIR888, CHIR895",S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR931,Diagnosis and Management 1,4,,Postgraduate,CHIR874 and CHIR892 and CHIR917 and CHIR919,,CHIR887,S1 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,CHIR932,Diagnosis and Management 2,4,,Postgraduate,CHIR931,,CHIR888,S2 Day,,Department of Chiropractic,No,none,none,no quota,No,,,,
Postgraduate,ELEC828,Software Defined Networking,4,Science,Postgraduate,Admission to MEng,,,S1 Day,,Department of Engineering,No,none,none,no quota,No,Prerequisite,Admission to MEng and 12cp at 600 level or above,updating existing units for changes to MEng Program,"Karu Esselle
Byron Wilson"
Postgraduate,ELEC840,"VLSI, Algorithms, and Systems",4,Science,Postgraduate,Admission to MEng,,,S2 Day,,Department of Engineering,No,none,none,no quota,No,Prerequisite,Admission to MEng and 12cp at 600 level or above,updating existing units for changes to MEng Program,"Karu Esselle
Byron Wilson"
Postgraduate,ELEC870,High Performance IC Design,4,Science,Postgraduate,Admission to MEng,,,S2 Day,,Department of Engineering,No,none,none,no quota,No,Prerequisite,Admission to MEng and 12cp at 600 level or above,updating existing units for changes to MEng Program,"Karu Esselle
Byron Wilson"
Postgraduate,ELEC875,Reconfigurable Electronics,4,Science,Postgraduate,Admission to MEng,,,S2 Day,,Department of Engineering,No,none,none,no quota,No,Name,Reconfigurable Antennas and Electronics,,"Karu Esselle
Byron Wilson"
Postgraduate,ELEC880,Cognitive Radio,4,Science,Postgraduate,Admission to MEng,,,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Postgraduate,ELEC881,Telecommunications Performance Analysis,4,Science,Postgraduate,Admission to MEng,,,S2 Day,,Department of Engineering,No,none,none,no quota,No,Name,Telecommunications Performance Management,,"Robert Abbas
Byron Wilson"
Postgraduate,ELEC885,Beyond 5G Mobile,4,Science,Postgraduate,Admission to MEng,,,S1 Day,,Department of Engineering,No,none,none,no quota,No,"Prerequisite
Name","Admission to MEng and 12cp at 600 level or above
5G Networks",updating existing units for changes to MEng Program,"Karu Esselle
Byron Wilson
Robert Abbas"
Postgraduate,ELEC887,Heterogeneous Networks: Theory and Practice,4,Science,Postgraduate,Admission to MEng,,,S1 Day,,Department of Engineering,No,none,none,no quota,No,"Prerequisite
When Offered","Admission to MEng and 12cp at 600 level or above
S2 Day",updating existing units for changes to MEng Program,"Karu Esselle
Byron Wilson"
Postgraduate,ELEC889,Wireless Sensor Network Applications,4,Science,Postgraduate,Admission to MEng,,,S1 Day,,Department of Engineering,No,none,none,no quota,No,,,,
Postgraduate,ENGG805,Engineering Project 1,4,Science,Postgraduate,Admission to MEng,,,"S1 Day
S2 Day","
",Department of Engineering,No,none,none,no quota,No,,,,
Postgraduate,ENGG806,Engineering Project 2,4,Science,Postgraduate,Admission to MEng,ENGG805,,"S1 Day
S2 Evening","
",Department of Engineering,No,none,none,no quota,No,"Prerequisite
When Offered","Admission to MEng and 12cp at 600 level or above
S1 Day, S2 Day",updated to reflect correct scheduling,Byron Wilson
Postgraduate,ENGG860,"Society, Sustainability, and Engineering",4,Science,Postgraduate,Admission to MEng,,,S2 Day,,Department of Engineering,No,none,none,no quota,No,When Offered,S1 Day,Updated for changes to Meng Program,Byron Wilson
Postgraduate,ENVS803,Science in Environmental Management,4,Science,Postgraduate,Admission to MEnv or MEnvEd or MEnvMgt or MEnvStud or MEnvPlan or MPlan or MSusDev or MSc or MWldMgt or MMarScMgt or GradCertEnv or GradDipEnv or GradCertSusDev or GradDipSusDev or MConsBiol or PGDipSc in Biodiversity Conservation,,GSE803,S1 Evening,,Department of Environmental Sciences,No,"ENVS703, ",none,no quota,No,,,,
Postgraduate,ENVS804,Climate Change and The Climate System,4,Science,Postgraduate,"Admission to MEnv or MSc or GradDipEnv or GradCertEnv or MWldMgt or MConsBiol or GradDipConsBiol or MMarScMgt or MSusDev or GradDipSusDev or GradCertSusDev or MPlan or PGDipSc in Biodiversity Conservation

",,CLIM804,S1 Day,,Department of Environmental Sciences,No,ENVS704,none,no quota,No,,,,
Postgraduate,ENVS805,Air and Water Quality,4,Science,Postgraduate,Admission to MEnv or MSc or GradDipEnv or GradCertEnv or MEnvPlan or MConsBiol or MPH,,GSE805,S2 Evening,,Department of Environmental Sciences,No,ENVS705,none,no quota,No,,,,
Postgraduate,ENVS807,Environmental Measurement and Analysis,4,Science,Postgraduate,Admission to MEnv or MSc or GradDipEnv or GradCertEnv or MEnvPlan or MPlan or MSusDev or GradDipSusDev or GradCertSusDev or MMarScMgt or MConsBiol or GradDipConsBiol or PGDipSc in Biodiversity Conservation,,GSE807,S2 Fieldwork,Compulsory field trip and on campus session,Department of Environmental Sciences,No,"ENVS707, ",none,no quota,No,,,,
Postgraduate,ENVS808,Introduction to Geographic Information Science for Postgraduates,4,Science,Postgraduate,Admission to MEnv or MSc or GradDipEnv or GradCertEnv or MEnvEd or MEnvMgt or MEnvPlan or MPlan or MEnvStud or MSusDev or MWldMgt or MMarScMgt or GradDipSusDev or GradCertSusDev or GradCertSIA or GradDipSIA or MConsBiol or GradDipConsBiolor or PGDipSc in Biodiversity Conservation,,"ENV808, ENVE810, GEOS801, GEOS810",S1 Day,,Department of Environmental Sciences,No,"ENVS708, ",none,no quota,No,"When Offered

","S1 Day
S1 External",,Assoc Prof Paul Beggs
Postgraduate,ENVS810,Environmental Economics,4,Science,Postgraduate,Admission to MEnv or MSc or MEnvEd or MEnvMgt or MEnvStud or MEnvPlan or MPlan or MSusDev or MWldMgt or MMarScMgt or MPPP or GradDipEnv or GradCertSusDev or GradDipSusDev or MConsBiol or GradDipConsBiol or MPH,,GSE810,S1 Day,,Department of Environmental Sciences,No,none,none,no quota,No,,,,
Postgraduate,ENVS811,Coastal Environmental Science,4,Science,Postgraduate,Admission to MEnv or MSc or MEnvEd or MEnvMgt or MEnvStud or MEnvPlan or MPlan or MSusDev or MWldMgt or MMarScMgt or GradDipEnv or GradCertEnv or GradCertSusDev or GradDipSusDev or MConsBiol or GradDipConsBiol or PGDipSc in Biodiversity Conservation,,GSE811,S2 Day,,Department of Environmental Sciences,No,none,none,no quota,No,,,,
Postgraduate,ENVS818,Environmental Planning,4,Science,Postgraduate,Admission to MEnv or MSc or MEnvEd or MEngMgt or MEnvMgt or MEnvStud or MEnvPlan or MPlan or MSusDev or MWldMgt or MMarScMgt or GradDipEnv or GradCertEnv or GradCertSusDev or GradDipSusDev or GradCertEnvPlan or MConsBiol or GradDipConsBiol,,GSE818,S2 Evening,,Department of Environmental Sciences,No,"ENVS718, ",none,no quota,No,,,,
Postgraduate,ENVS819,Environmental Health,4,Science,Postgraduate,Admission to MEnv or MSc or GradDipEnv or GradCertEnv or MEnvPlan or MPlan or MPH or MSusDev or GradDipSusDev or GradCertSusDev or MWldMgt or MMarScMgt or MConsBiol or GradDipConsBiol or MDevStud,,GSE819,S2 Evening,,Department of Environmental Sciences,No,none,none,no quota,No,,,,
Postgraduate,ENVS825,Sustainable Development: Introductory Principles and Practices,4,Science,Postgraduate,Admission to MEnvEd or MSc or MEngMgt or MEnvMgt or MEnvStud or MSusDev or MEnvPlan or MPlan or MDevCult or MIntRel or MEnv or MPPP or MSocEntre or GradDipEnv or GradCertEnv or GradCertSusDev or GradDipSusDev or GradDipIntRel or MPH or MDevStud,,GSE825,S1 Day,,Department of Environmental Sciences,No,none,none,no quota,No,,,,
Postgraduate,ENVS827,Education for Sustainable Development,4,Science,Postgraduate,Admission to MEnvEd or MSc or MEnvMgt or MEnvStud or MEnvPlan or MSusDev or MWldMgt or MEnv or GradDipEnv or GradCertEnv or GradCertSusDev or GradDipSusDev or MConsBiol or GradDipConsBiol or MPH or MDevStud,,GSE827,S1 Day,,Department of Environmental Sciences,No,none,none,no quota,No,Name,Engaging Society with Sustainable Development,,Assoc Prof Paul Beggs
Postgraduate,ENVS828,Research Methods for Sustainable Development,4,Science,Postgraduate,Admission to MEnvEd or MSc or MEnvMgt or MEnvStud or MSusDev or MEnvPlan or MEnv or MSocEntre or GradDipEnv or GradCertEnv or GradCertSusDev or GradDipSusDev or GradCertSIA or GradDipSIA or MPH,,GSE828,S2 Evening,,Department of Environmental Sciences,No,none,none,no quota,No,,,,
Postgraduate,ENVS829,Pollution Control and Waste Management,4,Science,Postgraduate,Admission to MEnv or MSc or GradDipEnv or GradCertEnv or MEnvPlan or MPlan or MConsBiol or MPH,,GSE829,S2 Evening,,Department of Environmental Sciences,No,none,none,no quota,No,,,,
Postgraduate,ENVS834,Environmental Research Report,4,Science,Postgraduate,(Admission to MEnv or MSc) and 16cp at 800 level,,,S1 Evening,,Department of Environmental Sciences,No,none,none,no quota,No,,,,
Postgraduate,ENVS844,Environmental Management Practice,4,Science,Postgraduate,(32cp at 800 level and admission to MEnv or MSusDev or MEnvEd or MEnvMgt or MEnvStud or MEnvPlan) or (16cp at 800 level and (admission to MSc or admission to MSusDev prior to 2015)),,GSE844,"S1 Evening
S2 Evening","
",Department of Environmental Sciences,No,none,none,no quota,No,Name,Sustainability Consultancy Work Practice,,Assoc Prof Paul Beggs
Postgraduate,ENVS853,Environmental Applications of GIS and Remote Sensing,4,Science,Postgraduate,GEOS801 or GEOS810 or ENVE810 or ENV808 or ENVS808,,"ENVE853, GEOS853",S2 Day,,Department of Environmental Sciences,No,ENVS753,none,no quota,No,"When Offered

","S2 Day
S2 External",,Assoc Prof Paul Beggs
Postgraduate,ENVS866,Research Project in Environmental Sciences,8,Science,Postgraduate,16cp in ENVS or GSE or GEOP or HGEO units at 800 level and permission by special approval,,"ENVS864, GSE864, GSE866","S1 Day
S2 Day","
",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Postgraduate,ENVS875,Cross Institutional Study in Environmental Sciences,4,"Arts, Science",Postgraduate,Permission by special approval,,"ENV875, GSE837, GSE875","S1 External
S2 External","None
None",Department of Environmental Sciences,No,none,none,no quota,No,,,,
Postgraduate,ENVS898,Management of Degraded Environments,4,Science,Postgraduate,Admission to MEnv or MSc or GradDipEnv or GradCertEnv or MEnvPlan or MPlan or MSusDev or GradDipSusDev or GradCertSusDev or MMarScMgt or MConsBiol or GradDipConsBiol or PGDipSc in Biodiversity Conservation ,,GSE808,S2 Evening,,Department of Environmental Sciences,No,"ENVS798, ",none,no quota,No,,,,
Postgraduate,FOSC804,Leadership in Science Research and Innovation,4,Science,Postgraduate,"Admission to MSc
",,,S1 Day,,,No,none,none,no quota,No,,,,
Postgraduate,FOSC805,Entrepreneurship and Innovation in Science and Technology,4,Science,Postgraduate,Admission to MSc or MEng,,,S2 Day,,,No,none,none,no quota,No,,,,
Postgraduate,FOSC806,Science Innovation Internship,16,Science,Postgraduate,"24cp at 800 level or above including (FOSC804 and FOSC805)
",,,"S1 Day
S2 Day
FY2 Day","

",,No,none,none,no quota,No,,,,
Postgraduate,GEOS800,Earth Science Project,4,Science,Postgraduate,Permission by special approval,,,"S1 Day
S1 External
S2 Day
S2 External","
None

None",Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Postgraduate,GEOS804,Advanced Field Mapping,4,Science,Postgraduate,12cp in GEOS units at 300 level,,,WV External,Compulsory field trip,Department of Earth and Planetary Sciences,No,none,GEOS307,no quota,No,,,,
Postgraduate,GEOS807,Problems in Sedimentary Geology,4,Science,Postgraduate,Permission by special approval,,,"S1 Day
S1 External
S2 Day
S2 External","
None

None",Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Postgraduate,GEOS809,Geophysics Laboratory Project,4,Science,Postgraduate,Permission by special approval,,,"S2 Day
S2 External","
None",Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Postgraduate,GEOS811,Advanced Field Techniques in Geoscience,4,Science,Postgraduate,12cp in GEOS units at 300 level,,,S3 External,Compulsory field trip,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Postgraduate,GEOS813,Geophysics Reading Project,4,Science,Postgraduate,Permission by special approval,,,"S1 Day
S1 External","
None",Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Postgraduate,GEOS814,Volcanic Geology B,4,Science,Postgraduate,12cp in GEOS units at 300 level,,,S3 Day,,Department of Earth and Planetary Sciences,No,none,GEOS373,no quota,No,,,,
Postgraduate,GEOS876,Advanced Geochemical Applications and Techniques,4,Science,Postgraduate,Permission by special approval,,,S1 Day,,Department of Earth and Planetary Sciences,No,GEOS776,none,no quota,No,,,,
Postgraduate,GEOS891,Research Project,16,Science,Postgraduate,Permission by special approval,,,"S1 Day
S1 External
S2 Day
S2 External","
None

None",Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Postgraduate,GEOS901,Problems in the Earth Sciences,4,Science,Postgraduate,Permission by special approval,,,"S1 Day
S1 External
S2 Day
S2 External","
None

None",Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Postgraduate,GEOS920,Palaeoenvironments and Biogeochemistry,4,Science,Postgraduate,Admission to MGeoSc and GEOS309,,GEOS710,S2 Day,,Department of Earth and Planetary Sciences,No,"GEOS710, ",none,no quota,No,Prerequisite,Admission to MGeoSc and/or GradDipGeo and GEOS309,,
Postgraduate,GEOS922,"Microstructures to Large Scale Processes: Rheology, Metamorphism and Fluids",4,Science,Postgraduate,Admission to MGeoSc and GEOS207,,GEOS707,S1 Day,,Department of Earth and Planetary Sciences,No,"GEOS707, ",none,no quota,No,"Name

Prerequisite","Microstructures to Large Scale Processes
Admission to MGeoSci and/or GradDipGeo",,
Postgraduate,GEOS929,Geophysical Data Processing,4,Science,Postgraduate,Permission by special approval,,,S2 Day,,Department of Earth and Planetary Sciences,No,none,none,no quota,No,,,,
Postgraduate,INFO843,Project and Risk Management,4,Science,Postgraduate,Admission to MBiotech or MBiotechMCom or MBioBus or MLabQAMgt or PGCertLabQAMgt or GradDipLabQAMgt or GradCertLabQAMgt or GradDipBioTech,,"ITEC841, ITEC843",S2 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC800,Systems Engineering Process,4,Science,Postgraduate,COMP355 or COMP365 or ISYS355,,,S1 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC801,Distributed Systems,4,Science,Postgraduate,ITEC647,,,S2 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC803,Advanced Topics in Computer Networks,4,Science,Postgraduate,ITEC647,,,S1 Evening,,Department of Computing,No,COMP703,none,no quota,No,,,,
Postgraduate,ITEC810,Information Technology Project,4,Science,Postgraduate,Admission to MInfoTech and ITEC812,,,"S1 Evening
S2 Evening","
",Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC812,Special Topic in Information Technology,4,Science,Postgraduate,(Admission to MInfoTech or MEng or MSc) and 16cp at 800 level,,,"S1 Evening
S2 Evening","
",Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC830,Web Data Technologies,4,Science,Postgraduate,ITEC644 or ITEC648,,,S2 Evening,,Department of Computing,No,none,none,no quota,No,Co-taught units,COMP731,,M.Hitchens
Postgraduate,ITEC832,Enterprise Application Integration,4,Science,Postgraduate,Admission to MInfoTech or MEng or MSc,,,S1 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC841,Information Systems Project and Risk Management,4,Science,Postgraduate,Admission to MInfoTech or MEng or MSc,,"INFO843, ITEC843",S1 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC842,Enterprise Management,4,Science,Postgraduate,Admission to MInfoTech or MEng or MSc,,,S2 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC844,Strategic Project Management,4,Science,Postgraduate,ITEC602 or ITEC660,,,S1 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC850,Network System Design,4,Science,Postgraduate,ITEC647,,,S1 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC851,Mobile Data Networks,4,Science,Postgraduate,ITEC647,,,S2 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC852,Advanced System and Network Security,4,Science,Postgraduate,ITEC647,,,S2 Evening,,Department of Computing,No,COMP752,none,no quota,No,,,,
Postgraduate,ITEC854,Security Management,4,Science,Postgraduate,Admission to MInfoTech or MEng or MSc,,,S2 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC855,Security Technologies and Forensic Analysis,4,Science,Postgraduate,COMP343 or ITEC647,,,S1 Evening,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC871,Information Systems Design and Management,4,Science,Postgraduate,Admission to MInfoTech or MEng or MSc,,,S2 Evening,,Department of Computing,No,COMP771,none,no quota,No,,,,
Postgraduate,ITEC872,Data Mining and Business Intelligence,4,Science,Postgraduate,COMP329 or STAT302,,,TBD,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC873,Machine Learning,4,Science,Postgraduate,"Admission to MInfoTech or MSc or MDataSc or GradDipInfoTech
",,,TBD,,Department of Computing,No,none,none,no quota,No,,,,
Postgraduate,ITEC874,Big Data Technologies,4,Science,Postgraduate,"Admission to MInfoTech or MSc or MDataSc or GradDipInfoTech
",,,TBD,,Department of Computing,No,none,none,no quota,No,co-taught,COMP733,,M.Hitchens
